aajo	gülünc	hospitality
aala	haşiyə	border
aanu	şəfqət	compassion
aapon	aapon	bachelor or spinster (bachelorette)
aare	aare	president
aawe	iflic	fasting
abala	hissə	division
abeikojopo	varis	subset
abeorile	evə qayıdır	nation
abesahara	səpmək	under the sahara
abidi	əlifba	abidi
abidjan	heç	abidjan
abo	qadın	security
aburunmu	hisslərimiz	reduced in value, diminished
abálájo	təcrübəli	that is why
abé	iynə	under
abínibí	milliyyət	inborn
abúléko	kənd	village
accra	akkra	accra
adaba	əlverişlidir	factor
adabaye	yaxşı	previously-existing
adarihunrun	təmiz	human
addis	addis	addis
adeda	təbiət	creator
adiokan	tək	stubbornness
adágbà	ağsaqqal	adagba
adúgbò kútò	küçədəki qonşular	kuto area
adúgbò mókóla	mukoza mukozası	mokola area
adúgbò quarry	karxana qonşuları	neighborhood
adúgbò ìdí	qonşuluq səbəbləri	area
afida	ailə	element
afomo	misal üçün	cleansing
afoyemo	tezis	abstract
africa	afrika	africa
african	afrika	ara afrika
africans	afrika	africans
aféfé	yel dəyirmanı	air
agba	çəkmək	principal
agbado	qarğıdalı	maize
agbara	güc	power
agbaye	dünya	world
agbeinadie	əkinçilik ərazisi	semi-conductor
agbà	bir yetkin	adult
agbàbò	qoruyucu	adopted child
agbára	güc	power
agbéiná	yanğınsöndürən	conductor
agio	ağlamaq	agio
aintimulo	aintimulo	un-exploited
aisi	çatışmazlığı	lack
ajagun	köpək	ajagun
aje	iqtisadiyyat	trade
ajemoroyin	dindirmə	reporting
ajibola	gündəliyi	ajibola
ajo	səyahət etmək	firms
ajoro	səyahət etmək	discussion
ajọra	replika	resemblance
akiidah	coridah	(non-standard yoruba, this maybe from benin)
akinpelu	artilleriya	akinpelu
akokolo	dövrü	period
akole	biz edə bilmərik	title
akoni	bizdə yoxdur	teacher
akopa	hər şeydən əvvəl	participant
akopo	tərtib	assembly
akátá	çaqqal	african american
akíkanjú	cəsur	courageous
akíngbógun	batalyon	akingbogun
akẹ́kọ̀ọ́	tələbə	students
ala	aşağı	limit
alaabo	əlil	protection
alaadanida	istenmeyen	individual
alaafia	barış	peace
alaafin	qanunsuz	alaafin
aladaani	özəl	privately-owned
aladani	özəl	self-owned
aladanida	ixtiyari	private
alaidogba	balanssızdır	unequal
alaigbara	qarşısıalınmaz	neutron
alaini	ehtiyaclı	the poor
alakitiyan	aktivist	activist
alakobere	təcrübəsiz	primary
alalaye	torpaq	explanatory
alawose	kehanet	mentor
albany	albany	albany
albert	albert	albert
alexandra	alexandra	alexandra
alicia	alicia	alicia
allāh	allah	allah
alominira	müstəqillik	independent
alpha	alfa	alpha
alubàbá	ata	drummer
alukuraani	quran	quran
alumoni	müalicəvi	minerals
alumíníọ̀mù	alüminium	aluminium
alákọ̀bẹ̀rẹ̀	təşəbbüskar	primary education
alápapò	yerdəyişmə	general
alátise	rəssam	alatise
aláyèwò	müfəttiş	expert
aláísàn	xəstə	the sick
alúwo	partlama	traditional cults
alọ́po	cüzdan	tied
amazonas	amazonalar	amazonas
americas	amerika	americas
amerika	amerika	america
amojeoyipada	konvertasiya edilə bilər	reform
amosi	məscid	amos
améríkà	amerika	america
améríkà	amerika	america
an	bir	him
anabi	peyğəmbər	prophet
anc	qoca	anc
andaman	andman	andaman
angkor	angkor	angkor
anita	anita	anita
anschluss	anschluss	anschluss
apagusu	cənub	southern
apaguusuilaorun	cənub-qərb	south-western
apaguusuiwoorun	cənub-qərb	part of the south
apailaorun	günəş çıxdı	east side
apaiwoorun	qərb	eastern side
aparapo	birləşmə	confederation
apeja	balıqçı	fisherman
apeere	misal üçün	example
apis	apis	apis
apòmù	önlük	apomu
apẹ̀rè	önlük	example
arabu	ərəb	arab
aralíle	tropik	healthy body
arinkankan	bu bir	nationalist
ariso	aris	oral tradition
ariwaarin	orta şərq	mid-north
ariwaguusu	cənub-qərb	north-south
arkansas	arkanzas	arkansas
aroko	bitki örtüyü	composition
aruleyin	salam	carried on the back
arun	xəstəlikdir	disease
aryan	aryan	aryan
aráa	qardaşı	people from
arábíà	əlifba sırası ilə	arabia
aráròmí	salam	araromi
arópò	rüşvət	substitute
arúgbó	qocalıq	elderly
arọ	topal	cripple
asagun	qələbə	intial, first (referring to the 13 colonies)
ascii	öyrənmək	ascii
aseeto	qəsəbə	unfair
aseyori	uğur	success
asipa	sapma	first to kill
assessment	qiymətləndirilməsi	ayewo
asìko	cəfəngiyat	time; ni asiko=when
asèdá	təbii	origination
atangbona	atom	emission
atanna	atom	emitter
atigba	məqbul	from time
atimo	plan	inland
atinrin	gülür	thin
atun	geri dönmək	also
atunse	düzəliş	revision
australia	avstraliya	australia
austriahumgary	avstriyaumqarı	austria-hungary
austronesian	avstraliyalı	austronesian
austríà	avstraliya	austria
avar	avar	avar
awari	kəşf	discovery
awo	boşqab	of
awonara	duyğu	people of
awoòn	şablon	people
awon	onları	they
awuruju	sehirli	shady
awùjo	nəzakət	society
awújẹ	qalmaqal	root
aya	ayə	chest
ayeye	əbədiyyət	celebration
ayàfi	yaxşıdır	only if
ayò	ay	game
azikiwe	ümumi mənada	azikwe
aṣòkan	fərdi	united
baa	edir	be with
babaláwo	bölücü	herbalist
bahrain	bəhreyn	bahrain
balẹ̀	olsun	settled
bang	bang	bang
banle	banle	banle
bara	keçən il	themselves
bauxitealumina	boksitalumina	bauxite/aluminum
bayelsa	bayelsa	beyelsa
bayi	i̇ndi	like this
bayìí	i̇ndi	this
bce	uzaqda	bce
beauharnais	gözəluharnais	beauharnais
beijing	beijing	beijing
belarus	belarus	belarus
belgium	belçika	belgium
bengal	bengal	bengal
bengali	bengali	bengal
benin	dəzgah	benin
berber	berber	berber
berlin	berlin	berlin
bernstein	bernstein	bernstein
bharat	bharat	bharat
bharata	geri qayıt	bharata
bibeli	müqəddəs	bible
biribiri	əzildi	intense
black	qara	dudu
bodies	cisimlər	ara
bojú	bax	take care
bole	bole	ground
bolt	bolt	bolt
bolívar	bolivar	bolivar
brasil	brazil	brazil
brazzaville	brazzaville	brazzaville
bridgeport	bridgeport	bridgeport
britain	britaniya	britain
brítánì	i̇ngilis	britain
bu	yəni	give
buenaventura	buenaventura	buenaventura
bujumbura	genişlənmişdir	bujumbura
burúkú	pis	bad
by	tərəfindən	does not translate directly, does not exist
bàbá	ata	father
bákannáà	həmçinin	likewise
bálè	şar	lying on the ground
bárakú	asılılıq	habitual
báyìí	i̇ndi	this
bèrẹ̀	silkələmək	started
béè	elə bunun kimi	than
bòtswánà	avtobus	botswana
búburú	pis	bad
búrú	cəsarətli ol	wicked
bẹ̀rẹ̀	başlamaq üçün	started
bẹ́	qırdı	also
bẹ́ljíọ̀m	beril	belgium
bẹ́ẹ̀ni	bəli	yes
bẹ́ẹ̀sìni	bəli	that is it
cairo	qəzəb	cairo
calabar	saqqız	calabar
canaria	kanariya	canaria
cape	kape	cape
casablanca	kasablanka	casablanca
caslon	kazino	caslon
cathedral	kafedral	cathedral (katidral)
catherine	ketrin	catherine
cauchy	çuxur	cauchy
cbc	cbc	cbc
chamorro	çobanyastığı	chamorro
charles	çarlz	charles
chaskalson	chaskalson	chaskalson
chebbi	düşün	chebbi
cherished	əziz	mu lokunkundun
china	çin	china
cipollone	sipollon	cipollone
clear	aydın	danmanran
code	kodu	code
coetsee	coetsee	coetese
coloured	rənglidir	alawo dudu
coming	gələn	yo jade
compared	müqayisə etdi	does not directly translate
computers	kompüterlər	komputa, ero ayarabiasa
csto	csto	csto
ct	ct	ct
cunha	boğaz	cunha
da	və	back; but in this form it is unnecessary
dagbasoke	böyümək, inkişaf etmək	developing
dandan	məcburidir	a must
dani	tutan	hand-held
darapo	qoşulmaq	joinedd
daru	məhv etmək	scattered
dates	tarixləri	pada si
delhi	etmir	delhi
denver	denver	denver
des	des	des
describes	təsvir edir	se apejuwe (apejuwe=description; se prefix makes it a verb)
desmond	çömçə	desmond
development	inkişaf	idagbasoke
didagba	bərabərlik	growing
didasile	müəssisə	established
different	fərqli	iyato
din	qızartmaq	reduced
dinwoju	baxmaq	suitable
divoire	divoire	d'ivoire
doju	üzbəüz	face
dojú	üzbəüz	turn face (full phrase is doju ko, to face)
dominic	dominant	dominic
doni	doni	this day
dote	dot	rebel
doublehelix	ikiqat	hiliksi abara meji
doublestrand	ikiqat	double-strand
dover	dover	dova
du	du	hustle
due	görə	nitori
dun	dadlı	sound
dàbíi	bunun kimi	like
dàpò	onları əvəz et	mix
dá	yaradılmışdır	intervene
dágbó	qocalıq	forest
dájó	tamam	pass judgement
dálóríi	çox sağ ol	about
dáradára	yaxşı	well
dásà	bir casa	peculiar way of saying
dáwó	bağışlamaq	undertake
dé	gəldi	reach
délànà	prinsipcə	delana
dépò	dərəcədə	to a position
dì	vərəq	be
dìde	yaranır	stand
dìró	sağda	hang on
dìtẹ̀	fitnə	rebel
díè	gərgin	few
dóko	yaxşı	upstanding
dólà	yaxşı	dollar
dún	səs	sound
dúró	durmaq	stand (been in existence)
dọ́gba	bərabərdir	equal
ea	bəli	ea
eba	eba	shore
ebi	ailə	family
ecomog	ekomog	ecomog
ede	dil	language
efrem	effem	efrem
egba	tamamilə	cane
egbe	silah	group
egberundun	min il	a thousand year
egbo	yara	brother
egbé	vay	party
egbò	yara	chemicals
egbògi	tibbi	don't know this
eighteen	on səkkiz	ejidinlogun
eka	kompleks	branch, department, part
ekeji	başqa	second
eko	təhsil	lagos
elede	donuzlar	speaker
eleyi	bu	this
eleyii	bunun kimi	this
elláda	yaradılması	ellada
eléde	mücərrəd	pig
eléré	idmançı	performer
elòmírà	dəniz yosunu	freedom
elòmíràn	başqa	another person
emerging	yaranan	ibere-pese
emmanuel	emmanuel	emmanuel
enikéni	hər kəs	whoever
enter	girmək	wole
enì	fil	person
eníbá	hərarət	such person
epa	fıstıq	groundnut
ernst	ernst	ernst
erofo	çöküntü	swamp
erékùsù	ada	island
eréonítàn	qısaltma	written play
eseese	diaqram	step by step
esia	gəlir	asia
esteri	esteri	ester
etisalat	etisalat	etisalat
etymologiae	etimologiae	etymologiae
etíòkun	sahil	beach
euro	avro	euro
euroasia	avroaziya	uro-esia
ewe	yarpaq	ewe
ewé	yarpaq	leaf
ewì	şeir	traditional poem
example	nümunə	apere
eya	kateqoriya	tribe
eyin	yumurta	previous
eyonomba	eyonomba	digit
eléja	balıqçılıq	fisherman
elòmíràn	başqa kimsə	another person
eka	təsiri	branches
eléyàmèyà	etnik	tribalism
enu	ağız	mouth
esin	din	horse
esè	gəlir	leg
ewà	davranış	beauty
fagile	ləğv edildi	cancel
fail	uğursuz	padanu
fan	fanat	spread
faramó	yapışmaq	accept
faranse	fransız dili	french
farsi	arti	farsi
felifeli	məxmər	fuming
ferde	ferde	verde
fesèmúlè	müvəqqəti mənbə	established
fe	istədi	want
fi	yadda saxla	by
fifihan	göstərən	revealed
fihan	göstərilmiş	shows, to show
fimú	kəskin müəyyən edilmişdir	captivate with
finiki	fizika	finiki
finlandi	finlandiya	finland
fitino	sınaq	judgement
five	beş	marun
fodio	fodio	fodio
fofinde	qadağan	prohibited
fohùn	qışqırmaq	consent
foniimu	film	phoneme
force	güc	agbara
foriko	misal üçün	agreed
fourbase	dörd baza	onidi-merin
fowobowe	sifariş	signed
fowó	pul üçün	sign
fracmv	fracmv	does not translate
francis	frank	francis
fransi	fransız dili	france
freetown	sərbəst	freetown
fuji	çıxarın	fuji
fulani	qorxaq	fulani
fulbe	ful	fulbe
fun	üçün	for
funra	özü	suspect
further	daha	si
fé	fé	like
fé	fé	want
fégbé	unut onu	for peers
fífò	uçan	jumping
fífún	verən	giving
fòye	başa düşmək	rationalise
fẹ́rẹ̀ẹ́	təxminən	nearly
galatia	bu vaxt	galatia
gba	razılaşmaq	accept
gbajúgbujà	çox məşhurdur	popular
gbale	populyarlıq	flourished
gbaná	vurmaq	engulf in flame/rage
gbe	aparmaq	set up
gbera	irəliləmək	move
gberasoke	sürətlənmək	rising
gbese	borc	debt
gbigbamulo	istismar	adopted
gbigbewo	maliyyələşdirmə	examined
gbilè	çıxmaq	gaining ground
gbin	əkilib	farm
gbogbogbo	ümumi	general
gbongbo	kök	root
gbàgbọ́	inanmaq	believe
gbàgùrà	silkələdi	gbagura
gbá	qarmaqarışıq	received
gbáradì	qalx	prepare
gbé	yaşamaq	convey
gbédìí	qurmaq	respect
gbékalè	dülgər	establish
gbéni	yaşamaq	lift
gbéyèwò	baxış-icmal	examine
gbésè	təklif	die
gbìnyànjú	cəhd edin	endeavour
gbìyànju	çox çalışmaq	try
gbódò	olmalıdır	must
gbónmisi	qanun	strife
gbúnùn	iy	hostile
gbọ́dọ̀	olmalıdır	must
geesi	i̇ngilis	english
geneva	cenevrə	geneva
genevieve	genevieve	genevieve
georgia	georgiya	georgia
german	alman	german
gfaj	gfaj	gfaj
ghana	gana	ghana
gidigidi	çox	significantly
gidí	ev	real
goemai	goemai	goemai
gomina	qubernator	governor
gorgina	qartal	gorgina
gquadruplex	gquadruplex	g-gigalonomerin
grammy	qrammatika	grammy
griiki	yunan	greek
groove	çuxur	iho
guanínì	guanni	guanine
guinea	qvineya	guinea
guineabissau	guineabissau	guinea bissau
guinébissau	guinébissau	guinea bissau
gun	uzun	stretch
gunle	silah	arrive
guusu	cənub	south
gv	gv	gv
gèésì	yapışqan	english
gèésì	gem	english
gégé	həqiqətən	like
gírámà	qarmaqlar	grammar
gòkè	qalxmaq	climb
gún	deşildi	properly
gúúsù	cənub	south
gẹ̀ẹ́sì	i̇ngilis	english
habsburg	habsburg	habsburg
haggai	bələdçi	haggai
haiti	haiti	haiti
halomonadaceae	halomonadaceae	halomonadaceae
hard	çətin	lile
haughton	qaqaş	haughton
hausafulani	hausafulani	hausa fulani
hawaii	həvayi	hawaii
heinrich	heinrix	heinrich
hendu	konfet	hendu
henny	heqiqeten	henny
heraklion	heraklion	heraklion
hesse	razılaşdı	hesse
him	ona	un, this term is sexless
hindu	hindu	hindu
histoni	histoni	histones
hominidae	hominidae	hominidae
hosea	hosea	hosea
hp	hp	hp
hugh	qucaqlamaq	hugh
hun	ovlamaq	knit
hungari	aclıq	hungary
hv	hv	hv
ibalo	iş	relationship
ibarepo	dərnək	friendship
ibeji	əkizlər	twins
ibewo	gəlib	visit
ibiamusin	ziyarətgah	colony
ibile	ənənəvi	municipality
ibimo	doğuş	birth
ibise	çalışmaq	official
ibiti	yerlər	where
ibn	ibn	ibn
ibojì	məzar	burial ground
ibori	örtük	conquest
ibujoko	dəzgah	place of abode
ibuseripadabosi	təzminat	eternity
ibuso	dalaşmaq	bus stop
ibùdó	düşərgə	settlement, seat of, area,
ibùjókòó	oturma	settlement
iceland	iceland	iceland
idagbasoke	inkişaf	development
idagbe	laqeydlik	isolation
idaji	yarım	half
idajo	ədalət	judgement
idamita	çəkmək	sector
idari	nəzarət edir	control
ideraa	yazmaq	comfort
idimule	həbs	establishment
idoma	rəsm	idoma
idupe	çox sağ ol	thanksgiving
idánwò	sınaq	examination
ifija	balıqçılıq	weapon
ifilole	başlamaq	resolution
ifitonileti	məlumat	reporting
ifobaje	korrupsiya	coronating
ifofinde	qurultay	prohibition
ifriqiya	stimullaşdırma	ifriqiya
igbeduro	hazırlıq	institute
igbegun	qələbə	declaration of war
igberiko	şəhərətrafı	region
igbesoke	yüksəltmək	upliftment
igbeyawo	toy	marriage
igbowolori	bahalı	inflation
igbá	toyuq	shell
igbáẹ̀yìn	sonuncu	shell
igitòròmogbè	genişzolaqlı	willow tree
ihan	görünür	ray
ihinrere	müjdə	gospel
ijagun	mübarizə	war
ijakadi	mübarizə	wrestling
ijaya	təlaş	fear
ije	hərəkat	eating
ijinnasi	fizika	the wind open
ijosin	ibadət etmək	worship
ijó	rəqs edir	dance
ikan	biri	one of
ikandinlogun	on səkkiz	nineteen
ikaowo	hörmət	finger
ikejidinlogun	on səkkiz	eighteen
ikeko	tərtib	education
ikerin	dördüncü	fourth
iketa	varis olmaq	third
ikoenu	qorumaq	union
ikojopo	akkumulyasiya	collection
ikoreokere	məhsul yığımı	migration
iku	ölüm	death
ikúgbaèyí	i̇ndi	death-has-this
ikún	doldurma	squirrel or wild rodent
ilagbolojo	aşkarlıq	latitude
ilana	proseduru	procedure
ilanaoye	strategiyaları	knowledge procedure
ilaodo	qorumaq	cana
ilaorun	günəş çıxdı	west
ileasofin	qanunverici	house of law,
ilegiga	ev	higher ground or higher plain
ileife	laqeydlik	ile-ife
ileigbimo	razılıq	house of assembly/congress
ileobaluaye	dünya	high chief
ileru	soba	volcanic
ilopo	ikiqat	times
iluoba	vətəndaşlıq	king's town
iluorilejoba	qloballaşma	capital city
ilé	ev	house
iléayé	ev	earth
iléisé	ev	workplace
ilélódò	ev	ile-lodo
iléàtèéré	ev	ile-ateere
iléńlá	həyət	ile-nla (area)
ilẹ	torpaq	land
ilẹ̀ayé	yer kürəsi	the world
iminle	həbs etmək	earthquake
imoero	işıqlandırma	engineering
imojuto	qayğı	protection
imusin	çəkmək	colony
imú	burun	nose
imúnisìn	gigiyena	slavery
inagberingberi	fıstıq yağı	electromagnetic force
indeed	həqiqətən	paapa julo
indus	indus	indus
inkosi	haqq qazandırmaq	inkosi
integration	inteqrasiya	ifowosowopo
inágbéringbérin	on yeddi	electromagnet
iní	miras	possession
inúnibíni	təqib	hatred
ioja	balıq	fight
ioniani	ehtiyaclı	ionian
iowa	yer üzündə	iowa
ipare	solğun	abolition
ipawo	istifadə edir	income
ipele	səviyyə	stage
ipin	fəsil	share
ipinpa	iştirak	arm of, branch of
ipinu	qərar	determination
ipo	yeri	position
ipá	güc	effort
iraja	şokedici	bargaining
iranlose	yardım	mission
ire	satış	you
irele	təvazökarlıq	irele
iringa	sarmaq	iringa
irisi	görünüşü	appearance
irorun	çox sadə	convenient
irò	söz-söhbət	iro
irúnmọlẹ̀	ildırım	apparition
isa	yetər	jesus, isa or yisa is hausa language
isare	sürətlənmə	track race
isedaniloro	özünə şübhə	terrorism
iseero	baxın	engineering
isejoba	idarəetmə	governance
iseoba	on beş	civil service
iseoroayeijoun	arxeologiya	archaeology
iseowo	biznes	business
isepinpin	paylanması	division
iso	gəlmək	unit
isoponomba	isoponomba	addition of numbers
isun	axın	spring
isesi	təslim olmaq	conduct
isè	xidmət	occupation
itali	i̇talyan	italy
itanakole	hekayə	ancient
itelentele	açıq şəkildə	coming after
itiraka	mübarizə	effort
itobi	lovğalanmaq	size
itokowo	biznes	economy
itorawo	liberal	astrology
itu	atmaq	solution
itumo	məna	meaning
iwadi	tədqiqat	research
iwasi	heyran et	behaviour
iwifun	məlumat	report
iwoile	ev	entering
iwosan	şəfalı	healing
iwulo	faydalıdır	use
iwuwa	təcrübə	behaviour
iyan	aclıq	argument
iyato	fərq	difference
iyawo	gəlin	wife
iyen	yəni	that
iyán	parıldayan	pounded yam
iḷẹ̀	işləmək	land
iṣẹ́ìwádìí	tədqiqat	research
jabo	hesabat	give account
jackson	cekson	jackson
jadide	gözlə	emerge
jagbe	azmaq	shout
jalè	oğurluq	steal
jamaica	youtube	jamaica
jamo	çıx get	link
jawaharlal	yelləncəklər	jawaharial
jeffrey	jeffrey	jeffrey
jeometri	həndəsə	geometry
jesu	i̇sa	jesus
jfk	jfk	jfk
jije	olmaq	existing as
jijinna	uzaqda	distance
jiròrò	dumanlı	dialogue
jo	sızmaq	days
jogun	irsi	inherit
johann	cəhənnəm	johann
johanu	üzr istəyirəm	john
jojo	qırıq	great extent
jopò	qoşul	gathered
jo	john	resemble
juneau	iyune	juneau
jàgídíjàgan	zorakı	violent
jáde	ortaya çıxmaq	out
jé	gəl	is
jéésù	i̇sa	jesus
jìnnàa	uzaqda	further
jíje	olmaq	eating
jíjuwó	pul qazanmaq	waving hands
jíjéomoléyìnkírísítì	bir xeyriyyəçi kimi	followers of christ
jùlo	daha çox	most
jùlo	xüsusilə	most
jùló	ən çox	most
jẹ́mánì	alman	germany
jọ́	xahiş edirəm	together
kadara	aktiv	destiny
kagera	öyünən	kagera
kakiri	iz	all over
kalinga	cinga	kalinga
kalẹ	kənara yığmaq	established
kampala	qucaqlamaq	kampala
kan	a	one
kankan	heç biri	any
kanlè	kanal	established
karbonumarun	mərkəzdən	5 carbon
karl	karl	karl
karun	beşinci	fifth
karùún	beşinci	fifth
kebbi	tənzimlənən	kebbi
kekere	kiçik	lower
keko	savadlı	learn
kept	saxlanılır	fi pamo
khoisan	alçaq	khoisan
ki	belə et	not
kiakiajulo	ən tez	rapidly
kiko	gətirir	gathering
kikojo	tərtib	gathering
kikopomo	isti	mixed
kikoso	sürətli	colonised
kiko	öyrənmək	making
kikuninu	təsəvvür edin	size
kilhar	qoltuq	kilhar
kinkinni	az şey	small quantity
ko	və ya	don't
kodò	aşağıda	bow
koidu	koidu	koidu
kojá	xaç	pass
kolo	kolo	going
komputa	kompüter	computer
kong	kong	kong
kongo	prezervativ	congo
kookan	bu	one
koto	yemi	pit
koko	öyrənmək	make heap
ko	ko	learn
kori	artıq yox	not found
krio	krio	krio
ku	sən	remain
kwara	ünvanlandı	kwara
kàríbẹ́ánì	bölgədə	carribean
kàyéfì	görəsən	amazement
ká	of	we
kánfinkése	yavaş	prolonged
kánádà	əlbəttə	canada
káyé	dünya	world
kéesì	gülünc	keesi
kékéèké	kiçik	small
kétu	hazır olun	ketu
kémíkà	əksinə	chemical
kéyìn	sonradan	come after,
kìnní	əvvəlcə	first
kí	salamlayin	not
kíko	təhsil alır	written
kíkọ́	öyrənmək	learning
kínu	öpmək	greet
kírísìtì	milad	christ
kòjòkú	yağış	kojoku
kòkó	siçan	cocoa
kòmpútà	kompüter	computer
kòtò	bir çuxur	pit
kòòsí	bu deyil	coaching
kòòkan	hər biri	each
kógo	şöhrət	glorious
kóra	toplamaq	participate
kùkú	hər şeydən sonra	eventually
kùrání	quran	quran
kúkú	hər şeydən sonra	now
kúkúrú	bir sözlə	short
kúrò	uzaqda	away
kútò	hər şey	kuto (place)
kúùkù	əksinə	punches; expression meaning 'by force' (ti pa ti kuuku)
kẹrin	dördüncü	4
kẹsàán	dərhal	ninth
kẹta	üçüncü	third
kẹ́nyà	ayrılıq	kenya
kọjá	keçmək	pass through
kọ̀mpútà	kompüter	computer
kọ́kọ́	əvvəlcə	first
kọ́lọ́mú	sütunlar	breast owner
kọ́ni	olmaması	teach
laa	çıx get	will
laada	vurmaq	good fortune
laaka	tərs	important
laarin	daxilində	between
labalaba	kəpənək	butterfly
labee	altda	under
lade	lad	crowned
laid	qoydu	tele
laifi	nöqsan	without
languages	dillərdə	ede
lanka	lanka	lanka
lasile	buraxmaq	laid out
latibe	oradan	from there
latigbana	o vaxtdan bəri	from then on
latini	latın	latin
latvia	latviya	latvia
lay	yatmaq	da
le	bacarmaq	can
leboa	lebo	leboa
lekun	şiddətləndi	open door
leo	leo	leo
lese	post	firmly
less	az	okeresi
lewaju	irəli	front
lewon	həbs	imprisonment
leyi	bax budur	mispelled...should be 'leyin', after
leè	bilər	can
lilelile	ağır sikişmə	tightly
lilemo	sirr	sticky
lilongwe	lilongwe	lilongwe
lindi	şir	lindi
linear	xətti	dogba
links	bağlantılar	eka; this is a new word and does not really exist in yoruba
lodo	yer almaq	from
lojowaju	gələcəkdə	the future
lojukokoro	acgöz	covetousness
lojúgun	qırıb	knee
lokunkun	enerjili	in the dark
loloselu	siyasi	in politics
lopolopo	çox	so many
loruko	adı	name
louvre	şir	louvre
lovers	sevənlər	awon olufe
low	aşağı	diye
lo	davam et	than
luanda	luanda	luanda
luther	lüt	luther
lynton	lynton	lynton
làgba	bərabərdir	more important
lààmi	işarəsi	sign
lààmì	əlamətləri	significant
lábé	çəki	under
láfún	verilmişdir	cassava food
láimo	olmadan	unknown
láké	ucadan	in ake
lámọ́di	bəxt	lamodi
lápá	hissəsi	from
lára	incidir	part of
lárúbáwá	təbii	arabic
láì	olmadan	without
láíláí	heç vaxt	old
lèe	bacarmaq	can
lèyìn	sonradan	after
lédè	dildə	language
léebá	təsadüfən	catch up with it
lérìnín	qar	erin=laughter; the prefix 'l' is possesive
lérò	səbəb	thought
léyin	sonradan	after
léyìn	sonradan	after
lérú	köləlik	enslave
lílo	istismar	using
lísa	sürətlənmə	a chieftaincy title
lítésò	ləkələnmək	literature
lóde	kənarda	modern
lópez	nipez	lopez
lópó	dul	widow
lórì	liman	on the head
lóríba	üzərində	subdue
lóti	çox	have
lóòótò	bəli	truly
lóòótọ́	həqiqətən	truly
ló	ló	to
lónà	yolda	in a way
lórò	sabah	become wealthy
lọndọnu	london	london
lọ́dọọdún	hər il	yearly
lọ́jà	bazarda	in the market
maapu	xəritə	map
madeira	beira	madeira
mahatma	mahatma	mahatma
makedonia	makedoniya	macedonia
malabo	bal	malabo
malay	fərz etdi	malay
malayopolynesian	malayopolynesian	malayo-polynesian
malaysia	malaysia	malaysia
mali	gün	mali
mango	manqo	mango
manˈdeːla	manˈdelala	mandela
marcellus	marcellus	marcellus
march	mart	march
marku	bu vaxt	mark
mars	mars	mars
maryland	maryland	maryland
maseru	qısqanclıq	don't be slave
matheu	matheu	matthew
mathiew	riyaziyyat	mathiew
