aajo	gülünc	hospitality
mathimatiki	riyazi	mathematics
max	maksimum	max
maya	yox	maya
mbabane	mənfi	mbabane
means	deməkdir	ona (way)
mediteraneani	aralıq dənizi	mediterranean
mefeefa	əsaslı təmir	all six
mejidinlogbon	iyirmi səkkiz	twenty eight
mejila	on iki	twelve
meksiko	meksika	mexico
melo	nə qədər	some
member	üzvü	ara
mercosur	merkosur	mercosur
merin	dörd	four
methodologies	metodikalar	anaoniruuru
metropoli	metropoli	metropolis
meucci	meucci	meucci
mewar	mewar	mewar
mexico	meksika	mexico
michelle	mişar	michelle
micronesia	mikronesiya	micronesia
miiràn	rahatlaşdırmaq	another
mimoy	mimoy	mimoy
mimuwa	yapışmaq	import
minnesota	minnesota	minnesota
minority	azlıq	awon ara kekere
mohandas	mohandas	mohandas
mokaleladota	yığcam	51, (mokanleladota)
mokanlelogbon	otuz iki	thirty-one
mombasa	mombasa	mombasa
monrovia	monroviya	monrovia
morgan	morqan	morgan
morogoro	motorlu	morogoro
mozambique	mozambik	mozambique
mozilla	mozilla	mozilla
mtn	mtn	mtn
mtwara	yenidən seçin	mtwara
mughal	həcmi	mughal
mulẹ̀	qurmaq	establish
munispal	munispal	municipal
muungano	muungano	muungano
májèmú	fikirləşmə	testament
mère	rəsm	significant
méjèèjì	hər ikisi	the two
mérindíláàdóta	əlli beş	forty-six
méte	beş	lip
mérìndínlógún	on altı	sixteen
mérìnlélógójì	qırx dörd	44
méta	üç	three
métèètà	dülgər	the three
méwàá	on	ten
ménu	fikirləşirsən	verbally contribute; complete phrase= me nu ba
mímọ́	müqəddəs	holy
míràn	başqa	other
míìrán	başqa	other
mííràn	başqa	other
mò	bilik	know
mókólà	yapışqan	mokola
móra	müalicə	with themselves
mó	m	with
múlẹ̀	möhkəm tut	select land (farmland)
mẹ́fà	altı	6
mẹ́rkúríù	siçan	mercury
mẹ́ta	üç	3
mẹ́talọ́kan	üçlük	trinity
namibia	gəlmək	namibia
nathaniel	nataniel	nathaniel
nato	nato	nato
nawojulo	çaşqın	highest-spending
nawó	pulunu al	point finger
ncnc	ncnc	ncnc
nebraska	nebraska	nebraska
nefimu	nefim	nefimu
neptune	neptun	neptune
nevis	nevis	nevis
ngbero	planlaşdırılır	planning
ngubengcuka	ngubengcuka	ngubengcuka
nibe	orada	there
nibere	erkən	earlier
nigbakan	bəzən	at one time
nigbà	sonra	when
nijẹr	nike	niger
nilè	burada	remaining
nisinyi	i̇ndi	at present
nitoriidieyi	buna görə	because of this
nitoripe	çünki	because
nitosi	yaxınlıqda	nearby
niwaju	qabaqda	in front of
niyato	fərqləndirmək	unlike
niye	yetər	in number
niyi	bax budur	these
nkan	şey	things
nkàn	xərçəng	something
nnaji	əmi	nnaji
nobel	nobel	nobel
nombamewa	çoxalmaq	decimal
nombáméjì	ilk iki	two-number
novo	novo	novo
nri	yemək	nri
nse	dizayn	acting
nso	yaxınlığında	saying
nsolaboraro	təhlükəsizlik	nso laboraro
nsowikipedia	obowikipedia	saying
ntoka	nöqtə	indicates
nu	təmiz	in
nukleotidi	nukleotid	nucleotides
nukleotidipupo	nukleotid	cell
numeri	uyuşma	numbers
nwa	bala	drill
nàìjíríà	nigeriyada	nigeria
náwo	xərc	spend money
náà	də	that
nì	dağ	is
nìnú	üzr istəyirəm	in
nìyí	bu odur	this is
ní	var	on
níbè	orada	there
níbè	orada	there
nífẹ̀ẹ́	sevmək	love
nígbàtí	nə vaxt	when
nílè	aşağıda	on the ground
nílùú	şəhərdə	in the town
nílẹ̀	yerdə	in the land
nínlá	əla	large
nínu	şans	in
níní	varı olmaq, malik olmaq	having
nípà	ən azı	by
nítorípé	çünki	because
nítumò	məna	meaningful
nítòsí	yaxınlıqda	nearby
nítòótó	tam olaraq	truly
nítòótọ́	həqiqətən	in truth, truthfully
níwájú	qabaqda	in front
níyanjú	müsbət	solved
nǹkan	şey	things
nso	tezliklə	say
oba	obama	king
obairanderan	əmiuşağı	hereditary
obere	kiçik	started
obínibí	nəzakət	inborn
ododo	salehlik	righteousness
ofin	qanun	law
ogbè	bölgə	a divinity
ogun	müharibə	war
ogunlogo	izdiham	hundreds
ojo	oxşamaq	day
ojojumo	gündəlik	daily
ojoru	isti	wednesday
ojukokoro	tamahkarlıq	covetousness
ojuoorun	qürub	atmosphere
ojuse	məsuliyyət	responsibility
ojùkòsì	yağıntı	ojukosi
ojùkòtúu	yağıntı	ojukotuu
ojúlùmọ̀	tanışlıqlar	acquaintance
ojútáyé	özlülük	public
ojúìwé	səhifə	page
okeere	xarici	distant
okhotsk	oxotsk	okhotsk
oko	sahə	farm
okunkun	qaranlıq	darkness
okunrin	kişi	male person
olodiajodojuko	bir-birinə	facing wall
olohun	sahibləri	god
olojukanna	dərhal	same surface
olokunkun	qulaqlıq	popular
ololugbe	itirən	occupants
olopon	təkəbbürlü	a local game
olora	yağ	fertile
oloselukan	salam	one political
oloye	dahi	chief
oluda	yaradıcısı	creator
oludase	istehsalçı	separatist
olukoitan	təlimatçı	the writer
olukowe	müəllif	writer
olumojuto	acgöz	overseer
oluparapo	birləşmə	joint
olusoju	gözətçi	ambassador
oluwakiri	kəşfiyyat	explorer
olympus	olimpiya	olympus
olódùmarè	uca	almighty god
olóyè	hökmdar	chief
olóṣèlú	siyasətçi	politics
olùbátan	bu əlaqə	relative
olùdarí	bir lider	director
olùkópa	töhfə verən	participant
olùkó	təlimatçı	teacher
olùkọ́	müəllim	teacher
omi	su	water
omiadalu	sel	mixture
onialjebra	onialjebra	of algebra
onibugbe	icarəçi	population
onigbeja	konstruktiv	allied
onigbowo	sponsor	sponsor
onigunfenfe	passiv	large angle
onilanaibagbepo	prezervativ	constitutional
onilile	ev sahibləri	solid
oninawo	borcalan	financial
onipin	rasional	even
onisayensi	texnoloq	scientific
onisowo	tacir	trader
oniyewumeji	ikili	two-chamber
oniyijulo	zəhmli	highest honour
onje	pəhriz	food
onka	kalkulyator	counter
onígbàgbó	qoca	believer
oníkólóbó	təhqiramiz	onikolobo (place)
onílẹ̀	aşağı	land owners; citizens (omo onile)
oníná	atəş	electronic
onítumò	tərcüməçi	meaning
onítèbọmi	vəftiz	baptist
onítòhùn	mühasib	that person
oníwòsàn	şəfa verən	doctor
oníyanjù	cizgi	persevere
ooni	timsah	ooni (king)
ootọ́	doğru	truth
opec	opec	opec
opposite	əksinə	odi
ori	baş	top
oriire	təbrik edirəm	success
oriki	şərq	name of endearment
orileede	millət	country
orileedeajoba	imperializm	monarchic country
orilejoba	hökumət	seat of government, kingdom
orileominira	isti	republic
orinìyìn	bir mahnı	songs of praise
orisirisi	müxtəliflik	various
orisun	mənbə	source
orisa	mənşəyi	god
oritameta	ortasında	crossway
orudnun	illik	mispelled...should orundun, century
oruko	isim	name
oríilè	milli	land
oríilẹ̀	məqalə	land
oríkì	şeir	family name
orílèèdè	millət	country
orílẹ̀	millət	continent
orílẹ́	axşam	nation
orísiirísi	müxtəlif	various
orísìí	müxtəliflik	type
orísìírísi	fərqli növlər	various
orúko	sahə	name
oscar	oskar	oscar
oseluarailu	mülki	political unit
otherwise	başqa cür	ibaje
otutu	çoxu	coldness
oun	o	it
owojagidijagan	terrorçular	upheaval
oúnjẹ	yemək	food
odún	il	year
ojó	yağışlıdır	day
okùnrín	gülüş	man
olórun	allah	god
olósìn	dindar	rearing
odun	illik	year
olorun	allah	god
omonìyàn	insan	human beings
opolo	çoxu	brain
ose	ose	week
oyé	dünya	harmattan
ofò	sabahınız xeyir	nothingness
opolo	çoxu	brain
paa	söndür	back
paapaa	xüsusilə	especially
padá	pod	go back
palauan	palav	palauan
panaˈma	panaˈma	panama
panyanan	the_space	spanish
papa	papa	specifically
parapọ̀	qarışıq	join
paripari	son	finally
pele	cazibədar	hello
penh	penh	penh
penisula	penisula	peninsula
periferi	periferi	periphery
petu	petu	resolve
pelu	inci	with
phillipines	filipinlər	phillipines
pinsi	azalma	divided
pinsoto	pinoto	separated
pinu	qərarlı	decide
pipo	çox	plenty
pipolongo	reklam	publicise
piposi	çox	multiplication
platos	platoslar	plato's
plánẹ́tì	santexnika	planet
po	po	share
pojulo	ən yüksək	larger
polandi	cilalamaq	poland
polaroid	polaroid	polaroid
population	əhali	ero
portonovo	portonovo	porto novo
portuguese	portuqalca	portuguese
press	mətbuat	press
produced	istehsal olunur	yo
protokolu	protokolu	protocol
proton	proton	kemika alaropo
providence	təminat	providence
príncipe	príncipe	principe
pupa	qırmızı	red
px|kùránì	px | ləpəsi	koran or quran; the px  does not belong
pàmò	xüsusi olaraq	pamo (town)
pàràkòyí	dərhal	parakoyi
pààlà	bir sərhəd	signalised
pàápàá	xüsusilə	especially
pásíà	zirzəmi	persia
pátáporongodo	tamamilə	entire
pè	çağırdı	that
pèhìndà	sperma	turned back
pèlu	ilə birlikdə	with
pèlúpèlú	həmçinin	in addition
pèsè	təmin olunur	provide
pé	ki	that
péré	yalnız	only
péé	ki	that
pípa	qırğın	order
pípèsè	təmin	providing
pípẹ́	uzun	long
pòwe	atalar sözləri	to say a proverb or wise saying
pò	qatlanmaq	join
púpo	həddindən artıq çox	much
púpò	əksinə	a lot
quran	quran	quran
ra	almaq	self
race	irqi	ere
rajya	ümid	rajya
ramadan	ramazan	ramadan
rank	rütbə	ipo
reggae	reggae	reggae
repeats	təkrarlayır	tunso
repetejulo	ən həssas	most of all
rere	yaxşı	success
research	tədqiqat	agbeyewo
richard	zəngin	richard
right|thumb|px|aworan	sağ | baş barmaq | px | şəkil	picture
rinle	yeni	emphasise
riresile	yazıcı	humbled, lowered
riro	təxəyyül	thought as
rn	rn	rn
rna	rna	rna
rnarna	rnarna	rna-rna
rnas	rnas	rnas
ro	düşün	thought
robinson	robinson	robinson
roboto	səthlər	round
rogbodiyan	iğtişaş	riot
rokirika	gəzən	publicise
roko	mob	farm work
roma	roma	roma
rome	xrom	rome
ronald	ronald	ronald
rorùn	asan	easy
rossii	rossii	rossii
rural	kənd	igberiko
ryan	ryan	ryan
ráhàn	ortaya çıxdı	complain
ránmú	narahat	grumble
république	république	republic
ré	c	his/her
rìn	gəzmək	should be orin, song or music
ròyìn	bildirildi	give account
rẹ	onun	it
saarc	çıxarın	saarc
saaree	üstündür	after death
saarland	döşəmədə	saarland
safari	safari	safari
saffana	safir	savannah
safiwe	müqayisə	describe
safta	sıralamaq	safta
saheli	rahatlıq	sahel
sakyamuni	növbəti	sakyamuni
sakyas	sakyas	sakyas
salem	salem	salem
salàyé	həyat	explained
sambia	gənclik	zambia
samioro	mövcuddur	signal
santa	santa	santa
say	deyin	so
sb	sb	sb
schwarz	şvarts	schwarz
sea	dəniz	odo
seat	oturacaq	itedo
segbese	ola bilər	take steps
seidamo	aydın	identify
semolara	astma	accustom
semudaju	əlbəttə	assure
senegal	senegal	senegal
sense	mənada	sensi
seville	sevil	seville
sewadi	axtarış	investigate
sharon	şəron	sharon
sibesibe	hələ	further more
sihamoni	quruluşu	sihamoni
sile	arxada	previously
silè	düşür	on the ground
sinai	günah	sinai
sinsin	din	unshakably
sioux	sioux	sioux
sise	yemək	works
sisodagba	böyümək	came of age
sisopo	əlaqələndirir	joined
sisupapoerekusu	tüpürmək	neighbouring islands
sisupo	çoxaltmaq	concentrated
slovo	slovo	slovo
so	sevgi	turned
sohun	bəli	something
solomon	solomon	solomon
soon	tezliklə	lai'pe
sopin	son	ended
so	belə ki	tells
spectacular	möhtəşəm	damanran
stella	stella	stella
structures	strukturları	igbekale
suez	suez	suez
sugbo	lakin yox	but
sugbọ́n	rasional	but, however
sun	günəş	sleep
suny	günəşli	suny
swahili	suahilicə	swahili
symmetry	simmetriya	ogbooga
sàbúrí	hər şeydən əvvəl	saburi
sàmì	işarə	signalize
sàn	daha yaxşı	flow
sàngó	banda	sango (god of thunder)
sàì	yaxşı	un
sápadè	bu gün	run to
sáàpàdé	sponsorluq	saapade
sáààrin	arasında	between
são	yenisini	sao
sèle	oğurlamaq	down
ségun	ağlamaq	conquered
sénégal	sperma	senegal
séyìn	arxa	back
séyìn	geri	at the back of
sìbẹ̀	hələ	there
sìni	karides	likewise
síbèsíbè	buna baxmayaraq	further more
síbú	yerə	ocean
sílẹ̀	salmaq	drop
síse	işləmək	doing
síso	yenə də	spoken
síso	yenə də	saying
síta	kənarda	outing
síwon	onları	to them
síwájú	irəli	comes before
síí	burada	on it
sòrò	beyin yumaq	talk
sójà	əsgər	soldier
sóko	bitki	to the farm
sùgbón	əksinə	but
sọ	deyin	lose
si	əlbətdə	to
síse	quruluşu	performing
sùgbón	əksinə	but
se	onlar edir	do
sepò	nəhayət	cooperation
sisé	çalışmaq	work
sááju	bir dəqiqə çəkin	before
sísa	s .ía	to be
sísè	tərcümə	step
tabi	və ya	or
tabili	masa	table
tabora	qarşısını almaq	tabora
taino	dino	taino
tainos	tainos	tainos
takuntakun	məhdudiyyətlər	valiant
talaka	kasıb	poor
talika	yoxsulluq	the poor
tara	doqquz	wholly
tata	süzgəc	wildly
taínos	tainos	tainos
technology	texnologiya	tekinoloji
tedo	tanışlıq	stay
teksas	texas	texas
tele	izlə	before
temptation	axtaran	idanwo
terutomo	terutomo	everybody
tfrac	tfrac	tfrac
the	the	does no directly translate
they	onlar	won
those	olanlar	awon
thumb|left|upright|nelson	baş barmağı | sol | dik | nelson	apa osi naro
tira	gərgin	quranic verse
tirana	tirana	tirana
tirè	onun	own
titu	vurmaq	cold (if it's a person's name, it is tutu)
tiwọn	onların	theirs
to	üçün	it
toje	nadir	that is
tokasi	göstərilmiş	pointing to
tokyo	tokyo	tokyo
tolerejulo	dözümlüdür	most profitable
tolórítelémù	xain	all manners of people
tomé	pomidor	tome
tooto	həqiqətən	true
tori	tori	because
torun	kürən	heavenly
toseluaralu	siyasi	political
tounsejanu	faciəli	control
traduite	traduite	traduite
translated	tərcümə olunub	tunmo
tumosi	deməkdir	means
tuntun	yeni	new
tàsí	olmadan	or
tàwon	onları	theirs
táawà	rüku etmək	we
tèlé	izlə	before
tètè	tez	quickly
tèlé	dərhal	follow
tèsíwájú	tərəqqi etmək	progress
té	t	follow
télè	tərəfindən	before
té	t	shamed
títi	bağlı	till
títèlé	izləmək	following
títío	qədər	until
tíátà	biletlər	theater
tíórì	şinlər	that is seen
tò	dəsti	enough
tóbi	böyük	big
tódárajùlọ	ən yaxşı	most beautiful
tókù	istirahət	others
tówùú	istənilən miqdarda	whatever
tó	tó	taught
tóka	sitat gətirir	pointed
tú	tökmək	untie
túmò	gavalı	means
túnse	yenidən təşkil etmək	restructured
tẹ̀ǹbẹ̀	sonra	rivalry
tẹ̀ǹbẹ̀lẹ̀kun	fitnə	bitterness
ucb	ucb	ucb
umueri	uşaqlar	umueri
unifasiti	universitet	university
unla	bəli	great
urasílì	uracil	uracil
uribe	aura	uribe
usps	usps	usps
utah	utah	utah
utc	utc	utc
uzbek	yol	uzbek
venezuela	venesuela	venezuela
vermont	vermont	vermont
victor	qalib	victor
videos	videolar	fidio
vihara	vihara	vihara
villa	villa	villa
viruses	viruslar	awon eran
visit	ziyarət	ibewo
vz	vz	vz
waa	bu	ours
waju	üz	future
wari	iy	once existing
westminster	westminster	westminster
wisconsin	wisconsin	wisconsin
witkin	ciyər	witkin
wiwari	kəşf	discovered
województwo	dəlilik	wojewodztwo
wole	daxil ol	into
woo	woo	look
wo	burada	enter
wo	burada	look
won	onları	they
wura	qızıl	gold
wyoming	wyoming	wyoming
wàásù	təbliğ etmək	preach
wì	yuyun	that
wípè	aydınlıq	that
wòfún	nəzər	convenient
wònyí	bunlar	these
wón	onları	they
wúnrèn	çalışmaq	small amount
wọn	onları	they
wọ̀nyí	bunlar	these
xd	xd	xd
xiv	xiv	xiv
yafran	əlifba	yafran
yakubu	yakub	yakubu
yan	seçin	choose
yanjú	həll etmək	solve
yanturu	bol	abundant
yaoundé	yaoundé	yaounde
yewo	təkmilləşdirilməsi	examine
ye	bəli	suitable
ye	bəli	should
yindinyindin	heç vaxt dayanma	brightly
yio	edəcək	will
yiowu	olacaq	any
yipada	fırlanmaq	change
yiyafunnilo	eroziya	borrow
yoo	edəcək	will
yori	rəhbərlik etdi	result
york	york	york
yorúbà	qatıq	yoruba
yo	yo	remove
yànan	heyrət	scattered
yàtò	qurmaq	other than
yára	tələs	quickly
yèwò	baxmaq	examine
yée	onlara icazə ver	eplained to
yì	get	this
yìí	bu	this
yí	fırlanmaq	this
yíyípadà	dəyişmək	changed
yíì	sən ... əcəksən	this
yíò	olacaq	it will
yẹ̀ẹ́	y&#39;tanımaq	check
yọ	çıxarın	bring out
zanzibar centralsouth	zanzibar centralsouth	zanzibar centralsouth
zdna	zdna	z-dna
zou	zou	zou
zscores	zscores	z-scores
zy	zy	zy
 bce	uzaqda	bce
àbe	baboon	under
àbámẹ́ta	bazar ertəsi	saturday
àbáyo	təklif	breakthrough
àbìkú	ölümsüzlük	'born to die' child
àbọ̀	yarım	result
àdámò	gizlilik	earmark
àdátá	əksinə	adata
àdáátán	müstəsna	adaatan
àdóolóró	yağ	bomb
àgbàjọ	qoca kişi	assembly
àgbàrá	sel	power
àgbáríjọ	təşkilat	combination
àgbékà	mücərrəd	suitable
àgbéyèwò	baxış-icmal	examination
àgbìgbò	qonşuluq	a type of bird
àgbùdo	həyət	corn
àgọ́	çadır	ago
àifète	məqsədi	unable to keep quiet
àjo	səyahət etmək	board
àjákọ	ayrı	ajako
àjọṣepọ̀	sosial	union
àkosílè	mücərrədlik	written
àkosílè	tezis	written account
àkàrà	tortlar	bean pudding
àká	rəflər	store
àkójopò	qrup	collection
àkókó	vaxt	previous
àlàkalè	qollar	breakdown, explanation of actions
àlàyé	məlumat	explanation
àlàáfíà	barış	peace
àlááfià	bənzətmə	wellbeing
àlè	bədxah	mistress, concubine, (side booty)
àlèpò	yuxarıda	joined together
àlébù	ləkə	ills
àmérìkà	fövqəltəbii	america
àmì	qeyd	sign
àmúlò	praktik	synonyms
àmúsorò	psixologiya	resources
ànfàní	fürsət	opportunity
àpapọ̀	bütünlüklə	federal
àpeere	nümunə	example
àrígbámú	narahat edir	assistant
àrùn	xəstəlikdir	disease
àrẹ	prezident	president
àse	ziyafət	authority
àsàjemátèe	şəfəq	cunning
àsèyìn	sonradan	at the end
àsìkò	vaxt	time
àsótélè	uzadılması	prophecy
àsọdọ̀kan	birlik	unitary
àsekúdórógbó	qabıq	do or die
àsà	adət	habit, culture, norm
àtijo	köhnəlmiş	olden days
àtìpó	yad	sojourn
àtòrìnká	ətrafında	urinating while walking
àtúnse	redaktə edin	modification
àtúnse	redaktə edin	renovate, fix
àtẹnudẹ́nu	şifahi	oral
àwon	nəzəriyyələr	they
àwón	pul	the
àwón	pul	the
àwùjo	cəmiyyət	community
ààtò	ritual	suitability
ààyè	diri	space
àárín	ortasında	middle
àáyá	sperma	seconds
àìkó	çatışmazlığı	unlearned
àìní	istəmək	lack
àìròtélè	gözlənilməz	unthought of
àìsí	yoxluğu	lack
án	t	it
áwon	zina	those
èbà	ağcaqanadlar	cassava flour food
èbúté	liman	shore
èdá	yaradılması	creature
èdè	dil	language
èdè	dil	language
èfòn	gərgin	efon
èhìn	növbəti	outskirt
èka	filial	branch
èkejì	başqa	second
èlò	əşyalar	tool
ènìkan	bir şey	someone
èràn	xəstəlikdir	virus
èrò	düşüncələr	thoughts
èsó	məscid	modesty
èsúrú	qarışqalar	yam (indigenous to west africa)
ète	məqsədi	plan
èyì	ləyaqət	this
èka	təsiri	branch
èro	düşüncələr	machine
èrí	dəlil	witness
èsìn	din	religion
èwù	köynək	clothe
èpón	çox	modifier
ìbarà	hərarət	ibara (town)
ìbánisòrò	əlaqə	dialogue
ìbáraeni	vaqon	to themselves
ìbílè	doğum haqqı	local
ìbílè	doğum haqqı	local
ìdàgbà	yetkinlik	grow
ìdàpapọ̀	konsolidasiya	union
ìdàrúdàpò	xaos	misunderstanding
ìdá	qaçqınlıq	division
ìdìmú	pozğunluq	branch, part
ìdíisin	səbəb	idi-isin
ìdíwòn	sənin səbəbin	criteria
ìdó	ləkə	ido (a person's name)
ìfara	işgəncə	self
ìfojúìtànìgbesiayé	həyat tarixi	biography
ìfáàrà	bir keşiş	introduction
ìgbonnìbí jé	fəlakətdir	igbonnibi
ìgbà	vaxt	when
ìgbàgbé	unutqan	forgetfulness
ìgbá	qanadlar	time
ìgbáraga	güc	pride
ìgbéraga	qürur	pride
ìgbésí	həyat	life
ìgbò	ram	igbo people
ìhun	dəmir	things
ìjo	rəqs etmək	church
ìjo	kilsə	church
ìjoba	hökumət	government
ìjora	nifrət	resemblance
ìjìnlè	sirr	comprehensive
ìjìnlè	sirr	mysterious
ìjò	lider	consent
ìjọba	hökumət	government
ìkejì	başqa	second
ìkànna	eyni	ikanna (town)
ìkèrèkú	tıxanma	ikereku
ìkéde	bəyannamə	advert
ìkìjà	bir problem	ikija
ìkìlò	sui-istifadə	warning
ìkínin	altıncısı	greetings
ìkẹrin	dördüncü	fourth
ìkọpa	iştirak	ikopa
ìlera	sağlamlıq	health
ìlo	zəng edin	use
ìlà	kontur	border
ìlànàn	illüziya	procedure
ìlàorùn	qançır	east
ìlàìnàró	zülm	vertical
ìlè	rüşvət	land
ìlé	ev	land
ìmò	ilan	knowledge
ìmò	ildırım	knowledge
ìmóbìdo	doğuş haqqı	imobido
ìmú	burun	knowledge
ìmúnilérú	sui-istifadə	slavery
ìmúsára	gücləndirmək	contagious
ìnagije	qələbə	alias
ìnáwó	xərcləmə	expenditure
ìpolongo	reklam	advertisement
ìpìlẹ̀núkléù	şifrələmə	base
ìpìnlè	başlanğıc	foundation
ìpínrò	bəndlər	economize
ìrànlọ́wọ́	kömək	help
ìrànàna	kömək	path-clearing
ìràwọ̀	ulduzlar	s
ìrí	təcrübə	sight
ìròkò	düşündü	iroko
ìròyìn	xəbərlər	news
ìròyìnwiki	xəbərlər	wikinews
ìròrùn	illüziya	peaceful
ìró	səs	sound
ìrúbo	dağılmaq	sacrifice
ìsawo	kehanet	divinity-practice
ìse	fəaliyyət	behaviour
ìsinsìnyí	i̇ndi	modern
ìsirò	hesablama	adding
ìsomó	qoşulmaq	attachment
ìsàlè	qürub	down town
ìsèlè	istehsal	happening
ìsìn	din	worship
ìsòrò	düşüncə	speech
ìsòrí	bölmə	chapter
ìsú	qalınlığı	lump
ìsọ	dükanlar	stall
ìse	fəaliyyət	work
ìsègbèfábo	çalışqanlıq	female support
ìsèdá	yaradılması	creation
ìsèjoba	hökumət	government
ìsílé	ev	house opening
ìsòro	çətinlik	problem
ìse	fəaliyyət	action
ìta	kənarda	outside
ìtaeko	atelye	outskirts of eko
ìtan	tarixi	story
ìtokò	qazan	story
ìtàn	tarixi	history
ìtànkálé	daşqınlar	spread
ìtèsíwájú	tərəqqi	progress
ìtójú	qayğı	treatment
ìtóju	qarışıqlıq	treatment
ìtójú	üz ifadələri	treatment
ìtóka	döyülmək	dictionary
ìtúmò	tərcümə	meaning
ìtúpalè	tərcümə	exposition
ìwe	müqayisə	book
ìwo	buynuzlar	horn
ìwàásù	təbliğ	sermon
ìwéré	kitabça	iwere (town)
ìwò	ümumilikdə	set
ìwòran	görmə	viewing
ìwúlò	faydalıdır	usefulness
ìya	əzab	mother
ìyapa	ayrılıq	divorce
ìyàwó	gəlin	wife
ìyípadà	dönüşüm	transformation
ìṣèlú	siyasət	politics
ìṣẹ́kù	qalan hissəsi	broken
ìṣọ̣̀tẹ̣̀	sətəlcəm	rebellion
òde	kənarda	society
òdeojú	simasız	surface
òdo	gənclik	zero
òdìkejì	başqa	opposite
òféàrán	bir görüntü	a town name
ògbójú	səlahiyyətli	brave
ògiri	divar	wall
ògo	şöhrət	glory
ògun	dərman	medicine
ògúndìpẹ̀	toz	ogundipe
òjo	oxşamaq	ojo
òjísé	həkim	servant
òkèògbún	min	oke-ogbun
òkòòkan	bir bir	each
òkú	cəsədlər	corpse
òkúta	bir daş	stone
òle	evdar qadın	lazy
òmiràn	sehrbaz	other
òmùàrán	bir görüntü	omu-aran (town)
òní	bu gün	today
òotó	həqiqət	true
òpópóònà	yol	highway
òranyàn	məcburi	a must
òrìsà	bütlər	god
òrí	fəsil	top
òrò	beyin	word
òsán	günorta	afternoon
òsèlú	siyasətçi	politics
òsèré	idmançı	player
òwù	parça	owu
òṣèlú	siyasət	politician
òjògbón	yağışlı hava	learned person
òkan	biri	heart
òkòòkan	bir bir	each
òpòlopò	çoxu	many
òré	oyunu	friend
òfò	növbəti	sorrowful
òpòlopo	çoxu	lot of
òré	oyunu	friend
òrò	düşüncələr	word
òsà	qızıl balıq	lagoon
òwó	pul	hand
òrò	düşüncələr	word
òròàjòmó	səhərlər	part of speech
ó	o	that
óníse	dizaynerdir	stricken
ósírísì	tüpürcək	diverse
ósékú	öldü	die suddenly
ó	bəli	word
ôdún	i̇l	year
únṣẹlẹ̀	zəlzələ	formed
şe	etmək	do
ʔaːnaːtɕɑ̀k	.aːnaːtɕɑɕɑk	not yoruba
ˈøːstəˌʁaɪç	ˌʁstəˌʁaç	austria
ˌkælɪˈfɔrnjə	ɪˈkælɪˈfɔrnjə	not yoruba
ˌæləˈbæmə	xəstəlik	not yoruba
κάππα	.α	does not translate
σ	σ	does not translate
ṣiṣé	açılış	work
ṣàkóbá	zərərli	incriminate
ẹdo	zarafat	edo
ẹlẹ́bùn	hədiyyə	award winner
ẹlẹ́sìn	dindar	religionist
ẹnìkan	bir adam	someone
ẹsẹ	ayaqları	verse
ẹtì	qaraciyər	friday
ẹ̀kaawon	təqdimatlar	branch of
ẹ̀kabrítánì	əmi	part of britain
ẹ̀kajuly	bilər	chapter july
ẹ̀kaoṣù	tikanlı	month
ẹ̀kasístẹ̀mù	subyektiv	sistemu=system
ẹ̀kẹ́ta	üçüncü	third, the third
ẹ̀kọ́	təhsil	teachings
ẹ̀ni	üst	person
ẹ̀rọ	maşın	machine
ẹ̀wẹ̀	digər tərəfdən	leaf
ọbàkàn	yarım qardaşı	step-sister
ọdún	il	year
ọlọ́mọ	uşaqlar	members
ọlọ́run	bir tanrı	god
ọmú	sormusan	breast
ọmọ	uşaq	c
ọn	o	him
ọpọ́lọpọ́	əncir	many
ọ̀dọ́	gənclik	youth
ọ̀gbìn	bitki	seedlings
ọ̀nà	yol	ways
ọ̀pòlòpò	fəaliyyət	various
ọ̀rọ̀	danışmaq	word
ọ̀sẹ	həftə	week
